tempo_15s,lux_estimado,lux_app
0,330.166912934102,378
15,414.008570786092,391
30,428.63719338006,418
45,301.783018348792,245
60,218.378035798114,261
75,270.888240780936,385
90,413.57189548478,347
105,443.374984799355,411
120,435.514829375731,435
135,454.61937380815,545
150,430.711401061294,410
165,414.663583738061,322
180,377.982858427815,312
195,98.6198344131735,110
210,77.2227446488636,109
225,93.8164060987366,113
240,108.990872819345,124
255,103.423262727611,152
270,209.535360946537,264
285,189.448297086164,234
300,196.653439557819,179
315,124.165339539952,109
330,184.317362295743,207
345,256.041280536313,265
360,274.490812016764,291
375,316.411640942759,362
390,344.031353750772,416
405,323.616783414415,333
420,336.389535977804,422
435,399.270779366797,353
450,427.327167476122,404
